Microsoft.Ceres.Diagnostics.dll,Microsoft.Ceres.Diagnostics,ULS/<>c__DisplayClass15
Microsoft.Ceres.Diagnostics.dll,Microsoft.Ceres.Diagnostics,ULS/<>c__DisplayClass17
Microsoft.Ceres.Diagnostics.dll,Microsoft.Ceres.Diagnostics,ULS/<>c__DisplayClass1b
Microsoft.Ceres.Diagnostics.dll,Microsoft.Ceres.Diagnostics,ULS/<>c__DisplayClass1e
Microsoft.Ceres.Diagnostics.dll,Microsoft.Ceres.Diagnostics,ULS/<>c__DisplayClassd
Microsoft.Ceres.Diagnostics.dll,Microsoft.Ceres.Diagnostics,ULS/BucketParameters
Microsoft.Ceres.Diagnostics.dll,Microsoft.Ceres.Diagnostics,ULS/CorrelationContext
Microsoft.Ceres.Diagnostics.dll,Microsoft.Ceres.Diagnostics,ULS/NativeMethods
Microsoft.Ceres.Diagnostics.dll,Microsoft.Ceres.Diagnostics,ULS/PerfmonAction
Microsoft.Ceres.Diagnostics.dll,Microsoft.Ceres.Diagnostics,ULS/PerfmonQueryHandle
Microsoft.Ceres.Diagnostics.dll,Microsoft.Ceres.Diagnostics,ULS/SendStronglyTypedEventFunction
Microsoft.Ceres.Diagnostics.dll,Microsoft.Ceres.Diagnostics,ULSCat
Microsoft.Ceres.Diagnostics.dll,Microsoft.Ceres.Diagnostics,ULSCatBase
Microsoft.Ceres.Diagnostics.dll,Microsoft.Ceres.Diagnostics,ULSEvent
Microsoft.Ceres.Diagnostics.dll,Microsoft.Ceres.Diagnostics,ULSEventBase
Microsoft.Ceres.Diagnostics.dll,Microsoft.Ceres.Diagnostics,ULSEventSeverity
Microsoft.Ceres.Diagnostics.dll,Microsoft.Ceres.Diagnostics,ULSPerfmonInstance
Microsoft.Ceres.Diagnostics.dll,Microsoft.Ceres.Diagnostics,ULSPerfmonInstance/ULSPerfmonHandle
Microsoft.Ceres.Diagnostics.dll,Microsoft.Ceres.Diagnostics,ULSTraceLevel
Microsoft.Ceres.Diagnostics.dll,Microsoft.Ceres.Diagnostics,WNODE_HEADER
Microsoft.Ceres.Diagnostics.dll,Microsoft.Ceres.Diagnostics.Security,SecurityContext
Microsoft.Ceres.Diagnostics.dll,Microsoft.Ceres.Diagnostics.Security,SecurityContext/CodeToRunElevated
Microsoft.Ceres.Diagnostics.dll,Microsoft.Ceres.Diagnostics.Security,SecurityContext/DiagnosticSettings
Microsoft.Ceres.Diagnostics.dll,Microsoft.Ceres.Diagnostics.Security,SecurityContext/NativeMethods
Microsoft.Ceres.Diagnostics.dll,Microsoft.Ceres.Diagnostics.Security,SecurityContext/SECURITY_IMPERSONATION_LEVEL
Microsoft.Ceres.Diagnostics.dll,Microsoft.Ceres.Diagnostics.Security,SecurityContext/TokenAccessRights
Microsoft.Ceres.Diagnostics.dll,Microsoft.Ceres.Diagnostics.ULSEventTemplates,ULSEvent_
Microsoft.Ceres.Diagnostics.dll,Microsoft.Ceres.Diagnostics.ULSEventTemplates,ULSEvent_GGGsssssDi
Microsoft.Ceres.Diagnostics.dll,Microsoft.Ceres.Diagnostics.ULSEventTemplates,ULSEvent_GsGsllllllllllll
Microsoft.Ceres.Diagnostics.dll,Microsoft.Ceres.Diagnostics.ULSEventTemplates,ULSEvent_Gslllll
Microsoft.Ceres.Diagnostics.dll,Microsoft.Ceres.Diagnostics.ULSEventTemplates,ULSEvent_Gsllllll
Microsoft.Ceres.Diagnostics.dll,Microsoft.Ceres.Diagnostics.ULSEventTemplates,ULSEvent_Gslsl
Microsoft.Ceres.Diagnostics.dll,Microsoft.Ceres.Diagnostics.ULSEventTemplates,ULSEvent_I
Microsoft.Ceres.Diagnostics.dll,Microsoft.Ceres.Diagnostics.ULSEventTemplates,ULSEvent_i
Microsoft.Ceres.Diagnostics.dll,Microsoft.Ceres.Diagnostics.ULSEventTemplates,ULSEvent_isi
Microsoft.Ceres.Diagnostics.dll,Microsoft.Ceres.Diagnostics.ULSEventTemplates,ULSEvent_l
Microsoft.Ceres.Diagnostics.dll,Microsoft.Ceres.Diagnostics.ULSEventTemplates,ULSEvent_s
Microsoft.Ceres.Diagnostics.dll,Microsoft.Ceres.Diagnostics.ULSEventTemplates,ULSEvent_sG
Microsoft.Ceres.Diagnostics.dll,Microsoft.Ceres.Diagnostics.ULSEventTemplates,ULSEvent_sGsGs
Microsoft.Ceres.Diagnostics.dll,Microsoft.Ceres.Diagnostics.ULSEventTemplates,ULSEvent_sGsslll
